"county_fips","N_Vote","N_NonWhite","N_total","Xi","Ti"
37001,59024,26929,93296,0.288640456182473,0.63265306122449
37063,126558,114937,213896,0.53734992706736,0.591680068818491
37081,230170,159046,368810,0.431241018410564,0.62408828394024
37157,37394,14840,59710,0.248534583821805,0.626260257913247
37037,31730,9757,45877,0.212677376463151,0.691631972448068
37163,23797,15466,38778,0.398834390633865,0.61367270101604
37135,65887,27885,107361,0.259731187302652,0.613695848585613
37053,6221,1645,10415,0.157945271243399,0.597311569851176
37193,27869,2913,42468,0.0685928228313083,0.656235283036639
37119,408366,305792,684494,0.446741680715974,0.596595441304087
37145,16670,8808,25294,0.348224875464537,0.659049576974777
37033,9490,6233,15081,0.413301505205225,0.629268616139513
37111,17204,1633,28228,0.057850361343347,0.609465778659487
37181,18663,18282,31713,0.576482830385016,0.588496830952606
37019,48834,12290,77637,0.158300810180713,0.62900421190927
37067,149247,92043,245022,0.37565198227098,0.609116732375052
37151,53998,10401,85532,0.121603610344666,0.631319272319132
37183,426620,221175,631120,0.350448409177336,0.675972873621498
37057,62747,14228,98554,0.14436755484303,0.636676339874586
37129,87702,31762,149997,0.2117509016847,0.584691693833877
37085,37510,23120,67414,0.342955469190376,0.556412614590441
37191,43421,32099,73420,0.437196949060202,0.591405611549986
37159,56614,21290,93217,0.228391816943261,0.607335571837755
37093,16269,18380,32090,0.572764100966033,0.506980367715799
37105,21714,11142,35058,0.317816190313195,0.619373609447202
37013,19972,10222,31600,0.323481012658228,0.632025316455696
37127,43751,31665,69700,0.454304160688666,0.627704447632712
37077,23440,15031,36491,0.411909785974624,0.642350168534707
37133,48174,30699,101900,0.301265947006869,0.472757605495584
37049,41153,21504,71578,0.300427505658163,0.57493922713683
37035,62614,16212,100819,0.160803023239667,0.621053571251451
37147,73119,51372,124769,0.411736889772299,0.586034992666448
37139,11889,13047,22094,0.590522313750339,0.538109894088893
37179,91289,29220,143125,0.204157205240175,0.637827074235808
37021,103775,21408,166132,0.128861387330556,0.624653889678087
37025,76440,31490,119904,0.262626768081132,0.637510008006405
37071,80707,29656,131227,0.225990078261333,0.615018250817286
37195,34383,27306,56032,0.48732866933181,0.613631496287836
37125,45041,11875,71302,0.166545117949006,0.631693360635045
37089,43453,5640,70941,0.079502685330063,0.612523082561565
37101,69951,27453,109788,0.250054650781506,0.637146136189747
37107,24486,19591,40271,0.486479104069926,0.608030592734226
37189,23956,2942,40580,0.0724987678659438,0.590340068999507
37141,22252,8514,36645,0.232337290216946,0.607231545913494
37009,11981,418,18737,0.0223088007685328,0.63943000480333
37069,25512,14105,40474,0.348495330335524,0.630330582596235
37073,4424,3321,7663,0.43338118230458,0.577319587628866
37065,23203,26513,40360,0.65691278493558,0.57490089197225
37051,107326,122646,208884,0.587148848164532,0.513806706114398
37059,18813,2982,28376,0.10508880744291,0.662989850577953
37097,71975,19812,113340,0.174801482265749,0.635036174342686
37109,33408,5195,51784,0.100320562335857,0.645141356403522
37123,9574,4700,15527,0.302698525149739,0.616603336124171
37161,26363,6212,43843,0.141687384531168,0.601304655247132
37027,31809,4382,52049,0.0841898979807489,0.611135660627486
37083,23352,24822,40131,0.618524332810047,0.58189429618001
37007,8999,8621,16137,0.534238086385326,0.557662514717729
37099,14351,3148,24883,0.126512076518105,0.576739139171322
37031,31277,4347,49796,0.0872961683669371,0.6281026588481
37055,11645,1353,18745,0.0721792477994132,0.621232328620966
37171,27336,3404,43132,0.0789205230455346,0.63377538718353
37095,1970,994,3252,0.305658056580566,0.605781057810578
37169,19287,2144,29614,0.0723981900452489,0.65127980009455
37167,26745,5833,40946,0.142455917549944,0.653177355541445
37155,38781,56297,81332,0.692187576845522,0.476823390547386
37185,8506,9046,13710,0.659810357403355,0.620423048869438
37041,6232,3748,10263,0.365195361979928,0.607229854818279
37011,7075,285,11528,0.0247224149895906,0.613723108952117
37017,14034,10471,22987,0.455518336451038,0.610518988993779
37079,7501,5277,11901,0.443408116964961,0.630283169481556
37023,35093,6297,57970,0.108625150940141,0.605364843884768
37175,14860,1611,23852,0.0675415059533792,0.623008552741908
37045,39288,16882,63104,0.267526622718053,0.622591277890467
37117,11106,8838,18300,0.482950819672131,0.606885245901639
37091,9248,10867,15633,0.695132092368707,0.591569116612294
37131,9122,9924,15599,0.63619462786076,0.584781075709981
37003,16113,1684,23766,0.0708575275603804,0.677985357233022
37197,15529,1572,23291,0.0674938817569018,0.666738225065476
37047,21308,14621,37085,0.394256437912903,0.57457192935149
37153,17589,12519,31358,0.399228267108872,0.560909496779131
37199,8445,292,13354,0.0218661075333233,0.632394788078478
37005,4510,294,7029,0.0418267178830559,0.641627543035994
37087,26340,1291,42889,0.0301009582876728,0.614143486674905
37165,12090,12222,22178,0.551086662458292,0.545134818288394
37061,17984,11903,29384,0.405084399673292,0.612033759869317
37103,4465,3048,7479,0.407541115122343,0.597004947185453
37113,15001,726,24961,0.0290853731821642,0.600977524938905
37121,6725,175,10614,0.016487657810439,0.6335971358583
37115,7348,496,12228,0.0405626431141642,0.600915930650965
37187,5696,5185,9283,0.558547883227405,0.613594743078746
37143,4457,2790,7476,0.373194221508828,0.59617442482611
37137,5768,2259,9370,0.241088580576307,0.615581643543223
37015,8479,9744,14583,0.668175272577659,0.581430432695604
37177,1453,1009,2424,0.416254125412541,0.599422442244224
37029,2867,1388,4815,0.288265835929387,0.595430944963655
37075,3922,418,6721,0.0621931260229133,0.583544115459009
37173,5823,2254,11261,0.200159843708374,0.517094396590001
37149,9396,1189,15699,0.0757373081087967,0.598509459201223
37039,12324,791,22453,0.0352291453257917,0.548879882421057
37043,5111,163,8795,0.018533257532689,0.581125639567936
